"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Jonny Evans",3300,"WBA vs EVE 10:00AM ET",5.012,"WBA"
"M","Idrissa Gueye",3300,"WBA vs EVE 10:00AM ET",5.283,"EVE"
"D","Angelo Ogbonna",3200,"BOU vs WHU 10:00AM ET",4.500,"WHU"
"M","Dan Gosling",3200,"BOU vs WHU 10:00AM ET",2.594,"BOU"
"D","Gaetan Bong",3200,"CHE vs BHA 10:00AM ET",4.861,"BHA"
"D","Christopher Schindler",3200,"HUD vs STK 10:00AM ET",4.485,"HUD"
"D","Geoff Cameron",3200,"HUD vs STK 10:00AM ET",3.479,"STK"
"D","Angel Rangel",3200,"LIV vs SWA 12:30PM ET",0.000,"SWA"
"M","Victor Wanyama",3200,"TOT vs SOU 07:30AM ET",2.500,"TOT"
"D","Miguel Britos",3200,"WAT vs LEI 10:00AM ET",3.583,"WAT"
"D","Nathan Ake",3100,"BOU vs WHU 10:00AM ET",3.974,"BOU"
"D","Jose Fonte",3100,"BOU vs WHU 10:00AM ET",5.075,"WHU"
"M","Lewis Cook",3100,"BOU vs WHU 10:00AM ET",2.932,"BOU"
"M","Emerson Hyndman",3100,"BOU vs WHU 10:00AM ET",0,"BOU"
"M","Connor Mahoney",3100,"BOU vs WHU 10:00AM ET",0,"BOU"
"M","Mark Noble",3100,"BOU vs WHU 10:00AM ET",5.136,"WHU"
"M","Cheikhou Kouyate",3100,"BOU vs WHU 10:00AM ET",4.441,"WHU"
"M","Pedro Obiang",3100,"BOU vs WHU 10:00AM ET",3.607,"WHU"
"M","Edimilson Fernandes",3100,"BOU vs WHU 10:00AM ET",2.156,"WHU"
"M","Declan Rice",3100,"BOU vs WHU 10:00AM ET",0.969,"WHU"
"M","Moses Makasi",3100,"BOU vs WHU 10:00AM ET",0,"WHU"
"M","Nathan Holland",3100,"BOU vs WHU 10:00AM ET",0,"WHU"
"M","Sead Haksabanovic",3100,"BOU vs WHU 10:00AM ET",0.000,"WHU"
"M","Domingos Quina",3100,"BOU vs WHU 10:00AM ET",0,"WHU"
"M","Ben Johnson",3100,"BOU vs WHU 10:00AM ET",0,"WHU"
"D"," Bruno",3100,"CHE vs BHA 10:00AM ET",3.469,"BHA"
"M","Davy Propper",3100,"CHE vs BHA 10:00AM ET",5.238,"BHA"
